"","Environment","Plot","Genotype","Rep","Block","Row","Column","Line.type","DTF","HT","Yield"
"1","Env1",59,"1","1","2","2","19","Entry",94,118,5873.2922
"2","Env1",19,"2","1","1","1","19","Entry",78,116,5843.6048
"3","Env1",27,"3","1","1","1","27","Entry",87,108.4,5776.7444
"4","Env1",127,"4","1","4","4","7","Entry",87,116.4,6283.8298
"5","Env1",132,"5","1","4","4","12","Entry",94,134,5703.4884
"6","Env1",92,"6","1","3","3","12","Entry",94,104,6357.5584
"7","Env1",106,"7","1","3","3","26","Entry",82,119.2,3461.1556
"8","Env1",82,"8","1","3","3","2","Entry",87,95.4,5752.9254
"9","Env1",199,"9","1","5","5","39","Entry",82,105,4124.9999
"10","Env1",57,"10","1","2","2","17","Entry",85,100.6,4676.5988
"11","Env1",68,"11","1","2","2","28","Entry",94,118.2,5468.0232
"12","Env1",44,"12","1","2","2","4","Entry",87,96,5585.5739
"13","Env1",131,"13","1","4","4","11","Entry",92,97.8,7333.1216
"14","Env1",96,"14","1","3","3","16","Entry",91,121.4,3704.6513
"15","Env1",145,"15","1","4","4","25","Entry",85,112,5980.8142
"16","Env1",163,"16","1","5","5","3","Entry",121,145,5424.8546
"17","Env1",3,"17","1","1","1","3","Entry",101,99,4948.0377
"18","Env1",24,"18","1","1","1","24","Entry",106,121.8,5839.6076
"19","Env1",38,"19","1","1","1","38","Entry",92,92.6,5344.3316
"20","Env1",181,"20","1","5","5","21","Entry",91,106.6,6247.6747
"21","Env1",75,"21","1","2","2","35","Entry",96,109.2,4671.875
"22","Env1",21,"22","1","1","1","21","Entry",89,100.4,5575.4362
"23","Env1",200,"23","1","5","5","40","Entry",92,116.4,5443.75
"24","Env1",190,"24","1","5","5","30","Entry",94,104.4,5311.0465
"25","Env1",134,"25","1","4","4","14","Entry",94,115.8,6041.8602
"26","Env1",60,"26","1","2","2","20","Entry",80,92,5506.8317
"27","Env1",161,"27","1","5","5","1","Entry",94,113,4747.2746
"28","Env1",12,"28","1","1","1","12","Entry",87,92.8,4798.8733
"29","Env1",49,"29","1","2","2","9","Entry",94,99.6,5225.5816
"30","Env1",72,"30","1","2","2","32","Entry",87,111.8,4801.9622
"31","Env1",193,"31","1","5","5","33","Entry",89,104.4,4652.1804
"32","Env1",122,"32","1","4","4","2","Entry",87,109.2,4179.1423
"33","Env1",133,"33","1","4","4","13","Entry",87,105.8,6724.8306
"34","Env1",119,"34","1","3","3","39","Entry",90,97.8,5293.5501
"35","Env1",180,"35","1","5","5","20","Entry",94,104.6,5963.1901
"36","Env1",53,"36","1","2","2","13","Entry",87,112.8,5208.4304
"37","Env1",164,"37","1","5","5","4","Entry",91,120.8,5798.9825
"38","Env1",171,"38","1","5","5","11","Entry",94,116.2,5606.7588
"39","Env1",35,"39","1","1","1","35","Entry",94,116.8,4781.25
"40","Env1",176,"40","1","5","5","16","Entry",94,112.6,4071.9478
"41","Env1",198,"41","1","5","5","38","Entry",96,116.8,5125
"42","Env1",124,"42","1","4","4","4","Entry",98,104.2,4286.2282
"43","Env1",187,"43","1","5","5","27","Entry",89,105.2,4709.3025
"44","Env1",1,"44","1","1","1","1","Entry",96,115.6,4956.3953
"45","Env1",66,"45","1","2","2","26","Entry",94,121.6,4742.0058
"46","Env1",86,"46","1","3","3","6","Entry",63,107.2,4156.9767
"47","Env1",148,"47","1","4","4","28","Entry",94,118.8,5238.0231
"48","Env1",40,"48","1","1","1","40","Entry",106,105.8,4757.1586
"49","Env1",182,"49","1","5","5","22","Entry",87,120.2,5103.7062
"50","Env1",16,"50","1","1","1","16","Entry",111,98.4,5691.3156
"51","Env1",144,"51","1","4","4","24","Entry",101,109.2,5176.4896
"52","Env1",62,"52","1","2","2","22","Entry",91,117.4,5730.6688
"53","Env1",88,"53","1","3","3","8","Entry",87,112.4,4557.5947
"54","Env1",153,"54","1","4","4","33","Entry",85,112.4,4087.6091
"55","Env1",150,"55","1","4","4","30","Entry",89,118.2,4551.0175
"56","Env1",46,"56","1","2","2","6","Entry",87,120,5525.5816
"57","Env1",81,"57","1","3","3","1","Entry",91,119,5160.7556
"58","Env1",101,"58","1","3","3","21","Entry",99,108,6233.2123
"59","Env1",15,"59","1","1","1","15","Entry",113,115.4,4071.9478
"60","Env1",32,"60","1","1","1","32","Entry",87,122.8,4334.6888
"61","Env1",76,"61","1","2","2","36","Entry",89,118.8,4165.9158
"62","Env1",168,"62","1","5","5","8","Entry",91,113.4,3807.6306
"63","Env1",123,"63","1","4","4","3","Entry",87,115.4,4481.8314
"64","Env1",93,"64","1","3","3","13","Entry",87,113.4,6844.295
"65","Env1",195,"65","1","5","5","35","Entry",89,118.4,5658.7936
"66","Env1",13,"66","1","1","1","13","Entry",89,120.4,6342.8417
"67","Env1",147,"67","1","4","4","27","Entry",94,93.8,5499.0917
"68","Env1",146,"68","1","4","4","26","Entry",94,109.4,4071.9478
"69","Env1",121,"69","1","4","4","1","Entry",84,115,5000
"70","Env1",58,"70","1","2","2","18","Entry",89,92.8,5000
"71","Env1",142,"71","1","4","4","22","Entry",87,109.8,4720.2033
"72","Env1",158,"72","1","4","4","38","Entry",82,110.6,3746.4572
"73","Env1",33,"73","1","1","1","33","Entry",85,138.6,4081.3955
"74","Env1",29,"74","1","1","1","29","Entry",82,96.2,5341.9799
"75","Env1",11,"75","1","1","1","11","Entry",82,85.6,4801.5623
"76","Env1",117,"76","1","3","3","37","Entry",87,116,4552.3258
"77","Env1",67,"77","1","2","2","27","Entry",85,95,4062.5
"78","Env1",98,"78","1","3","3","18","Entry",82,107.4,4153.7789
"79","Env1",125,"79","1","4","4","5","Entry",87,113.2,4876.4534
"80","Env1",138,"80","1","4","4","18","Entry",87,117,4937.4091
"81","Env1",102,"81","1","3","3","22","Entry",103,101.8,5361.9185
"82","Env1",113,"82","1","3","3","33","Entry",94,116.8,5713.9537
"83","Env1",54,"83","1","2","2","14","Entry",94,111.8,5526.3808
"84","Env1",26,"84","1","1","1","26","Entry",94,97.4,5046.5115
"85","Env1",192,"85","1","5","5","32","Entry",94,106,5456.5406
"86","Env1",37,"86","1","1","1","37","Entry",85,98.4,4165.9158
"87","Env1",157,"87","1","4","4","37","Entry",82,99.2,3546.875
"88","Env1",109,"88","1","3","3","29","Entry",85,102.6,4299.4186
