DESIGNATION,Female,Male
IR64,IR5657-33-2-1,IR2061-465-1-5-5
IRRI154,IR73012-137-2-2-2,PSBRC10(IR50404-57-2-2-3)
IRRI193,IR68077-82-2-2-2-3,IR00A117
IR05N412,IR72875-94-3-3-2,IR73707-45-3-2-3
IR05N419,IR72887-34-2-1-3,IR73707-45-3-2-3
IR06N155,IR72158-11-5-2-3_IR73707-45-3-2-3,IR72875-94-3-3-2
IR09A220,IR72903-121-2-1-2,IR71606-1-1-4-2-3-1-2(NSIC110)
IR10A231,IRRI143_IR73718-23-2-1-3,IR00A110
IR10F559,IR80410-B-197-4_IRRI149,NSICRC158
IR10N237,IR01N111_IRRI164,IR72890-81-3-2-2
IR10N271,IR01W106,IR71676-90-2-2
IR11A282,IR04A427,BR29
IR11A303,IR04A427,IR72875-94-3-3-2
IR11A306,IR04A427,IR73006-12-3-3-2
IR11N121,IR05N341_IR64680-81-2-2-1-3,PSBRC10(IR50404-57-2-2-3)
IR11N202,IR05N173,BR29
IR12N135,IR01N149_IR64680-81-2-2-1-3,FEDEARROZ50
IR12F111,IR44004-74-3-2-3-3-3,IR70181-32-PMI1-1-5-1
BRRIDHAN53,BR10(BR51-46-5)_BR23,BR847-76-1-1
BRRIDHAN55,0,0
IRRI198,MEMBERANO,PADIABANGGOGO
IR58443-6B-10-3,AT401,IR31868-64-2-3-3-3
IR66946-3R-149-1-1,IR29,POKKALI
IRRI186,IR02A127,IR64
IR02A149,IR00A107,PSBRC54(IR60819-34-2-1)
IRRI214,IR71606-1-2-1-3-2-3-1,PSBRC64(IR59552-21-3-2-2)
IRRI180,IR73718-1-2-1-3,PSBRC10(IR50404-57-2-2-3)
IRRI179,IR73008-138-2-2-2_IR68544-29-2-1-3-1-2,IR72870-19-2-2-3
IRRI181,IR02A127,JANAKI
IR10M210,IRRI123,IR68144-2B-2-2-3-1-127
IR87959-6-2-3-1-2-BAYB-CMU1,IR69502-6-SRN3-UBN1-B,A69-1
IR11T220,IRRI149,IRRI128
IR12T147,IRRI149,IRRI126
IR12T162,IRRI149,IRRI128
IR11T205,IRRI149,IRRI128
IR11T197,IRRI149,IRRI128
IRRI197,IR66946-3R-178-1-1,IR72875-94-3-3-2
IR11T230,IRRI149,IRRI128
IR13F589,IR07F289_IR44004-74-3-2-3-3-3,OM4900
IR13F474,IR09F171,IR09F146
IR13F475,IR09F171,IR09F153
IR13F597,IR07F290_IR67495-NDR2-1-1-1-1,IRRI154
IR13F652,IR09F171_IR09F146,IR09F436
IR105469:72-18-2,IR6(PAKISTAN),IRRI149
IR08L181,IR55423-01(NSICRC9),IRRI148
IR09L342,IR72022-46-2-3-3-2,IR57514-PMI5-B-1-2
IR09L204,IR72022-46-2-3-3-2,SWARNA
IR87707-446-B-B-B,IR77298-14-1-2-10,IR77298-5-6-11
IR91648-B-117-B-1-1,MOROBEREKAN,SWARNA
MTU1010,0,0
SAMBHAMAHSURI,RP5,MAHSURI
ABHAYA,CR157-392,OR57-21
IR55419-04,IR12979-24-1(BROWN),UPLRI5
PSBRC14,IR64,C1064-13
IR14L297,IR09L337,IR09L154
IR14L521,IR09L272,IR10L146
IR14L525,IR09L272,IR10L149
IR14L530,IR09L272,IR10L128
IR14L331,IR09L272,IR10L128
IR14L539,IR09L272,IR10L128
IR14L345,IR09L272,IR10L128
IR14L541,IR09L272,IR10L137
IR14L360,IR09L272,IR09L337
IR14L601,IR09L272,IR09L337
IR14L603,IR09L272,IR09L337
IR14L604,IR09L272,IR09L337
IR14L362,IR09L272,IR09L337
IR14L544,IR09L272,IR10L165
IR14L545,IR09L272,IR10L165
IR14L374,IR09L272,IR08L181
IR14L395,IR09L317,IR10L149
IR14L573,IR10L146,IR10L149
IR14L574,IR10L146,IR10L149
IR14L420,IR10L149,IR10L137
IR14L421,IR10L149,IR10L137
IR14L613,IR10L149,IR10L165
IR14L440,IR05N173,IR09L272
IR14L583,IR08N158,IR09L272
IR14L586,IR05N173,IR10L149
IR99054-B-B-1,IR10M101_IR73006-12-3-3-2,PAU3105-45-3-2
IR105479:64-2,IR6(PAKISTAN),IRRI149
IR11L412,IR77298-5-6-18,IR73013-95-1-3-2
IR12L130,IRRI174,IR77298-14-1-2-10
IR12L125,IRRI174,IR77298-14-1-2-10
IR12L235,IR77298-5-6-18,MTU1010
IR12L232,IR77298-5-6-18,MTU1010
IR12L144,IR77298-5-6-18,MTU1010
PR30244-AC-V2,WAGWAG,WAGWAG
PR25997-B-B-B,IR9764-45-2-2,IR81491-AC-5-1
IR71700-247-1-1-2,IR66159-164-5-3-5,IR64
IR10N230,IR01N106_IR01N194,IRRI143
IR10N134,IRRI143_NSICRC158,IR60
IR05N341,IR73707-56-5-1-2,IR73707-45-3-2-3
IR08A176,IR73013-95-1-3-2,IRRI123
IR10N136,IR71606-1-1-4-2-3-1-2(NSIC110,IR73459-120-2-2-3
IR11A192,BR29,JANAKI
IR11A292,IR04A427,IR65450-173-2-1-1-3-3
IR11A334,IR04A427,IR59682-132-1-1-2(PSBRC52)
IRRI221,IR05N173,BR29
IR09A130,IR77080-B-34-3,IR71606-1-1-4-2-3-1-2(NSIC110
IR13N134,IR04A213,IR09N494
IR04A216,IRBB60-1,IR71730-51-2
IR04A381,IR71137-184-3-2-3-3,IR72875-94-3-3-2
IR05A235,IR73008-138-2-2-2,IR00A103
IR5N221,0,0
IR05N496,IR74052-297-2-1_IR71700-247-1-1-2,IR73885-1-4-3-2-1-6
IR09M120,IR75862-206-2-8-3-B-B-B,IR64
IR09N516,IRRI143,NSICRC158
IR79971-B-191-B-B,VANDANA,WAYRAREM
IR79971-B-227-B-B,VANDANA,WAYRAREM
CRdhan201,IR72022-46-2-3-3-2,PSBRC18(IR51672-62-2-1-1-2-3)
IR09L235,IR71700-247-1-1-2,IR77080-B-34-1-1
IRRI213,IR70179-1-1-1-1,IR73885-1-4-3-2-1-6
IRRI175,IR01A102,CT6510-24-1-2
IRRI199,MOROBEREKAN,SWARNA
IR95780-43-1-1-1,IR09L242,IR09L343
IR14L247,IR09L224,IR09L343
IR95785-5-2-2-1,IR10L179,IR10L151
IR95785-5-2-2-2,IR10L179,IR10L151
IR14L245,IR10L179,IR10L151
IR95785-31-2-1-2,IR10L179,IR10L151
IR95786-9-2-1-2,IR10L149,IR10L152
IR95793-5-2-2-3,IR09L179,IR10L105
IR14L260,IR10L128,IR08N128
IR14L256,IR10L149,IR08N158
IR95814-27-1-2-3,IR09N495,IR10L185
IR95814-29-1-1-3,IR09N495,IR10L185
IR95817-23-2-1-2,IR09N520,IR10L185
IR95836-14-3-1-2,IRRI168,IR10L105
IR95840-35-1-2-2,IR08N158,IR10L105
IR95840-35-1-2-3,IR08N158,IR10L105
IR96279-33-3-1-2,IR81896-B-B-236,IR64
IR96319-6-3-1-2,IR77298-14-1-2-10_Q74,IR84984-83-15-18-B-B_Q74
IR14L265,IR10L178,IR10L128
IR95795-53-1-1-2,IR10L128,IR05N173
IR95804-2-1-1-2,IR10L149,IR08N158
IR95809-25-1-1-1,IR10L128,IR09N520
IR95814-10-2-2-2,IR09N495,IR10L185
IR14L263,IR08N158,IR10L185
IR95817-5-1-1-1,IR09N520,IR10L185
IR95817-5-1-1-2,IR09N520,IR10L185
IR95817-14-1-1-2,IR09N520,IR10L185
IR14L276,IR06N119,IR09L173
IR14L267,IRRI168,IR10L105
IR95839-24-1-1-2,IR09N495,IR10L105
IR95840-5-1-1-3,IR08N158,IR10L105
IR95840-33-3-2-1,IR08N158,IR10L105
IR95840-33-3-2-2,IR08N158,IR10L105
IRRI133,DHULA_IR28878-R-R-27-3-1,IR31802-48-2-2-2
IR14L112,IR09L324,IR78875-176-B-2
IR14L110,IR09L324,IR78875-176-B-2
IR14L111,IR09L324,IR78875-176-B-2
IR14L113,IR09L324,IR78908-143-B-4
IR14L114,IR09A130,IR57514-PMI5-B-1-2
IR14L117,BASMATI37,MTU1010
IR14L115,AUS261,MTU1010
IR14L116,AUS261,SWARNA
IR14L101,IR71700-247-1-1-2,IR09L224
IR14L102,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L103,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L104,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L105,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L106,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L107,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L108,IR72022-46-2-3-3-2,IR09L224
IR14L109,IR72022-46-2-3-3-2,IR09L224
IR13L367,THADOKKHAM1,IR77298-14-1-2-10
IR13L349,THADOKKHAM1,IR08L119
IR11L384,IRRI123,IR05N372
IR13L201,THADOKKHAM1,IR08L119
IR13L364,BR11,IR77298-5-6-18
IR13L188,IR08L119,IR64
IR12L330,IR77298-14-1-2-10,MTU1010
IR13L313,THADOKKHAM1,IR77298-14-1-2-10
IR13L291,THADOKKHAM1,IR77298-14-1-2-10
IR12L303,IR04A212,IR08L119
IRRI188,IR72022-46-2-3-3-2,IR57514-PMI5-B-1-2
IR10L182,IR70181-32-PMI1-1-5-1,IRRI163
IRRI189,DHAGADDESHI,IR77080-B-34-3
IR14D180,IR10F188,KHO487-4
IRRI200,IR71700-247-1-1,IRRI123
IRRI177,IR06L161,IR80508-B-57-3-B
IR11T198,IRRI149,IR61920-3B-22-2-1(NSICRC106
CIHERANG,IR18349-53-1-3-1-3_2*IR19661-131-3-1-3,IR5657-33-2-1_IR2061-465-1-5-5
IR14L121,IR71700-247-1-1-2,IR09L224
IR14L152,IR78985-B-6-B-B-B,IR81063-B-94-U3-1
IR14L153,IR78985-B-6-B-B-B,IR81063-B-94-U3-1
IR14L154,IR78985-B-6-B-B-B,IR81063-B-94-U3-1
IR14L149,IR78985-B-6-B-B-B,IR81063-B-94-U3-1
IR14L150,IR78985-B-6-B-B-B,IR81063-B-94-U3-1
IR14L155,IR81039-B-173-U3-3,IR81063-B-94-U3-1
IR14L156,IR81039-B-173-U3-3,IR81063-B-94-U3-1
IR14L157,IR81039-B-173-U3-3,IR81063-B-94-U3-1
IR14L158,IR81039-B-173-U3-3,IR81063-B-94-U3-1
IR14L159,IR10N102,IR86931-B-400
IR14L162,IR09L324,IR78875-176-B-2
IR14L161,IR09L324,IR78875-176-B-2
IR14L160,IR09L324,IR78875-176-B-2
IR14L164,IR09L324,IR78908-143-B-4
IR14L165,IR09L332,IR78875-176-B-2
IR14L167,IR09L332,IR78875-176-B-2
IR14L168,IR09L332,IR78875-176-B-2
IR14L169,IR69807-13-2-1,IR78875-176-B-2
IR14L170,IR69807-13-2-1,IR78875-176-B-2
IR14L171,BASMATI37,MTU1010
IR14L118,IR71700-247-1-1-2,IR77298-5-6-18
IR14L119,IR71700-247-1-1-2,IR77298-5-6-18
IR14L120,IR71700-247-1-1-2,IR77298-5-6-18
IR14L133,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L134,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L135,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L123,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L124,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L125,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L126,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L127,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L128,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L129,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L130,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L131,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L132,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L136,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L122,IR72022-46-2-3-3-2,IR77298-5-6-18
IR14L145,IR72022-46-2-3-3-2,IR09L224
IR14L146,IR72022-46-2-3-3-2,IR09L224
IR14L148,IR72022-46-2-3-3-2,IR09L224
IR14L137,IR72022-46-2-3-3-2,IR09L224
IR14L138,IR72022-46-2-3-3-2,IR09L224
IR14L139,IR72022-46-2-3-3-2,IR09L224
IR14L140,IR72022-46-2-3-3-2,IR09L224
IR14L141,IR72022-46-2-3-3-2,IR09L224
IR14L142,IR72022-46-2-3-3-2,IR09L224
IR14L143,IR72022-46-2-3-3-2,IR09L224
IR14L144,IR72022-46-2-3-3-2,IR09L224
IR14L147,IR72022-46-2-3-3-2,IR09L224
IR14L151,IR78985-B-6-B-B-B,IR81063-B-94-U3-1
IR14L163,IR09L324,IR78908-143-B-4
IR14L166,IR09L332,IR78875-176-B-2
IR13L173,IR08L217,IR08L183
IR13L371,THADOKKHAM1,IR77298-14-1-2-10
IR13L189,IR08L119,IR64
IR13L316,THADOKKHAM1,IR77298-14-1-2-10
IR13L196,THADOKKHAM1,IR77298-14-1-2-10
IR13L268,IR08L183,MTU1010
IR12L404,IR73885-1-4-3-2-1-6,IR08L118
IR13L298,THADOKKHAM1,IR77298-14-1-2-10
IR13L320,THADOKKHAM1,IR08L119
IR13L200,THADOKKHAM1,IR08L119
IR12L260,IR55419-04,MTU1010
IR13L149,IRRI154,IR08L118
IR13L353,BR11,IR77298-5-6-18
IR13L314,THADOKKHAM1,IR77298-14-1-2-10
IR13L331,THADOKKHAM1,IR08L119
IR13L297,THADOKKHAM1,IR77298-14-1-2-10
IR13L296,THADOKKHAM1,IR77298-14-1-2-10
IR13L267,IR08L183,MTU1010
IR13L355,THADOKKHAM1,IR08L119
IR13L300,THADOKKHAM1,IR77298-14-1-2-10
IR13L348,THADOKKHAM1,IR77298-14-1-2-10
IR13L309,THADOKKHAM1,IR77298-14-1-2-10
IR13L370,THADOKKHAM1,IR08L119
IR13L275,IR08L118,IR09N529
IR13L266,IR08L183,MTU1010
IR13L374,THADOKKHAM1,IR08L119
IR13L330,THADOKKHAM1,IR08L119
IR13L326,THADOKKHAM1,IR08L119
IR13L235,BR11,IR77298-5-6-18
IR12L334,IR71525-19-1-1,SWARNA
IR13L231,BR11,IR77298-14-1-2-10
IR13L329,THADOKKHAM1,IR08L119
IR13L315,THADOKKHAM1,IR77298-14-1-2-10
IR13L264,IR08L183,MTU1010
IR13L251,IRRI154,IR08L119
IR10L177,IR70181-32-PMI1-1-5-1,IR71700-247-1-1
IR12L396,IR73885-1-4-3-2-1-6,IR08L118
IR13L319,THADOKKHAM1,IR77298-14-1-2-10
IR13L283,IR08L118,MTU1010
IR13L301,THADOKKHAM1,IR77298-14-1-2-10
IR13L372,THADOKKHAM1,IR08L119
IR13L337,THADOKKHAM1,IR08L119
IR13L282,IR08L118,MTU1010
IR13L323,THADOKKHAM1,IR08L119
IR13L284,IR08L118,MTU1010
IR13L285,IR08L118,MTU1010
IR09L226,IR71700-247-1-1-2,SAMBHAMAHSURI
IR11L406,IR11L101,IR05N359
IR12L309,IR06N155,IR55419-04
IR12L372,IR55419-04,MTU1010
IR13L324,THADOKKHAM1,IR08L119
IR13L376,IR08L118,MTU1010
IR12L388,IRRI174,IR77298-14-1-2-10
IR12L380,IR73885-1-4-3-2-1-6,IR08L118
IR13L262,IR08L183,MTU1010
IR13L339,THADOKKHAM1,IR08L119
IR13L245,IRRI154,IR08L119
