Environment,Season,Replication,Block,Row,Col,Yield,Genotype
ENV1,2018DS,1,NA,6,15,1507.48062,Genotype_10162
ENV1,2018DS,2,NA,4,77,1500.077519,Genotype_10162
ENV1,2018DS,1,NA,4,1,980.0516796,Genotype_10164
ENV1,2018DS,2,NA,6,80,NA,Genotype_10164
ENV1,2018DS,1,NA,6,6,2653.081395,Genotype_10169
ENV1,2018DS,2,NA,1,62,NA,Genotype_10169
ENV1,2018DS,1,NA,4,13,1727.939276,Genotype_10173
ENV1,2018DS,2,NA,3,60,1029.134367,Genotype_10173
ENV1,2018DS,1,NA,3,1,1540.213178,Genotype_10175
ENV1,2018DS,2,NA,5,62,3428.824289,Genotype_10175
ENV1,2018DS,1,NA,4,27,1933.333333,Genotype_10176
ENV1,2018DS,2,NA,6,49,2335.897933,Genotype_10176
ENV1,2018DS,1,NA,3,38,2126.511628,Genotype_10178
ENV1,2018DS,2,NA,1,72,1850.781654,Genotype_10178
ENV1,2018DS,1,NA,3,39,2966.369509,Genotype_10184
ENV1,2018DS,2,NA,1,85,NA,Genotype_10184
ENV1,2018DS,1,NA,4,39,1583.062016,Genotype_10186
ENV1,2018DS,2,NA,5,75,2088.294574,Genotype_10186
ENV1,2018DS,1,NA,1,9,2897.810078,Genotype_10187
ENV1,2018DS,2,NA,3,59,2044.806202,Genotype_10187
ENV1,2018DS,1,NA,5,35,3813.281654,Genotype_10195
ENV1,2018DS,2,NA,2,63,NA,Genotype_10195
ENV1,2018DS,1,NA,6,30,1829.916021,Genotype_10198
ENV1,2018DS,2,NA,5,44,1616.686047,Genotype_10198
ENV1,2018DS,1,NA,6,34,837.3158915,Genotype_10200
ENV1,2018DS,2,NA,5,64,2376.963824,Genotype_10200
ENV1,2018DS,1,NA,3,18,451.8475452,Genotype_10211
ENV1,2018DS,2,NA,1,64,2396.350129,Genotype_10211
ENV1,2018DS,1,NA,2,20,2884.347545,Genotype_10220
ENV1,2018DS,2,NA,1,77,NA,Genotype_10220
ENV1,2018DS,1,NA,4,36,NA,Genotype_10222
ENV1,2018DS,2,NA,4,52,1744.935401,Genotype_10222
ENV1,2018DS,1,NA,1,23,2181.782946,Genotype_10224
ENV1,2018DS,2,NA,6,79,2815.691214,Genotype_10224
ENV1,2018DS,1,NA,2,1,3527.44186,Genotype_10226
ENV1,2018DS,2,NA,1,61,2453.488372,Genotype_10226
ENV1,2018DS,1,NA,2,38,1539.922481,Genotype_10228
ENV1,2018DS,2,NA,3,74,1611.937984,Genotype_10228
ENV1,2018DS,1,NA,1,40,1408.921189,Genotype_10232
ENV1,2018DS,2,NA,3,84,2554.231266,Genotype_10232
ENV1,2018DS,1,NA,1,32,2850.503876,Genotype_10240
ENV1,2018DS,2,NA,4,74,1373.875969,Genotype_10240
ENV1,2018DS,1,NA,5,2,2050,Genotype_10248
ENV1,2018DS,2,NA,6,46,1796.085271,Genotype_10248
ENV1,2018DS,1,NA,3,36,3182.687339,Genotype_10251
ENV1,2018DS,2,NA,3,73,2771.918605,Genotype_10251
ENV1,2018DS,1,NA,5,6,NA,Genotype_10254
ENV1,2018DS,2,NA,2,60,2304.573643,Genotype_10254
ENV1,2018DS,1,NA,4,31,1709.166667,Genotype_10262
ENV1,2018DS,2,NA,5,45,2529.250646,Genotype_10262
ENV1,2018DS,1,NA,1,4,3233.462532,Genotype_10266
ENV1,2018DS,2,NA,3,71,NA,Genotype_10266
ENV1,2018DS,1,NA,6,22,3662.732558,Genotype_10269
ENV1,2018DS,2,NA,1,73,NA,Genotype_10269
ENV1,2018DS,1,NA,2,3,1237.44832,Genotype_10270
ENV1,2018DS,2,NA,6,68,2604.547804,Genotype_10270
ENV1,2018DS,1,NA,3,10,2675.968992,Genotype_10273
ENV1,2018DS,2,NA,5,53,1610.555556,Genotype_10273
ENV1,2018DS,1,NA,3,15,1930.03876,Genotype_10274
ENV1,2018DS,2,NA,2,68,NA,Genotype_10274
ENV1,2018DS,1,NA,3,16,1456.014212,Genotype_10277
ENV1,2018DS,2,NA,5,77,2645.313307,Genotype_10277
ENV1,2018DS,1,NA,6,9,1833.126615,Genotype_10279
ENV1,2018DS,2,NA,5,67,3969.922481,Genotype_10279
ENV1,2018DS,1,NA,5,27,1420.264858,Genotype_10286
ENV1,2018DS,2,NA,4,48,1196.343669,Genotype_10286
ENV1,2018DS,1,NA,4,34,3009.651163,Genotype_10288
ENV1,2018DS,2,NA,5,51,1509.664083,Genotype_10288
ENV1,2018DS,1,NA,1,24,2793.042636,Genotype_10289
ENV1,2018DS,2,NA,2,44,3255.03876,Genotype_10289
ENV1,2018DS,1,NA,3,26,168.2170543,Genotype_10290
ENV1,2018DS,2,NA,2,61,774.1602067,Genotype_10290
ENV1,2018DS,1,NA,5,3,701.7118863,Genotype_10292
ENV1,2018DS,2,NA,4,67,4090.968992,Genotype_10292
ENV1,2018DS,1,NA,3,2,1967.054264,Genotype_10295
ENV1,2018DS,2,NA,4,47,1941.860465,Genotype_10295
ENV1,2018DS,1,NA,4,10,2483.72093,Genotype_10297
ENV1,2018DS,2,NA,5,68,4126.375969,Genotype_10297
ENV1,2018DS,1,NA,4,28,NA,Genotype_10298
ENV1,2018DS,2,NA,5,83,2898.966408,Genotype_10298
ENV1,2018DS,1,NA,3,31,1746.653747,Genotype_10299
ENV1,2018DS,2,NA,1,46,997.7777778,Genotype_10299
ENV1,2018DS,1,NA,5,10,1846.124031,Genotype_10302
ENV1,2018DS,2,NA,6,66,2598.837209,Genotype_10302
ENV1,2018DS,1,NA,4,14,2465.439276,Genotype_10303
ENV1,2018DS,2,NA,6,77,2218.908269,Genotype_10303
ENV1,2018DS,1,NA,2,23,1076.524548,Genotype_10306
ENV1,2018DS,2,NA,5,50,3331.26615,Genotype_10306
ENV1,2018DS,1,NA,5,14,3461.24031,Genotype_10309
ENV1,2018DS,2,NA,5,61,3472.609819,Genotype_10309
ENV1,2018DS,1,NA,4,40,2555.568475,Genotype_10311
ENV1,2018DS,2,NA,6,72,2943.79845,Genotype_10311
ENV1,2018DS,1,NA,3,28,1686.046512,Genotype_10318
ENV1,2018DS,2,NA,6,59,1213.963178,Genotype_10318
ENV1,2018DS,1,NA,6,3,2225,Genotype_10321
ENV1,2018DS,2,NA,5,47,1171.808786,Genotype_10321
ENV1,2018DS,1,NA,5,18,3428.294574,Genotype_10327
ENV1,2018DS,2,NA,5,76,186.3178295,Genotype_10327
ENV1,2018DS,1,NA,4,18,NA,Genotype_10328
ENV1,2018DS,2,NA,5,65,2212.306202,Genotype_10328
ENV1,2018DS,1,NA,3,29,1523.062016,Genotype_10334
ENV1,2018DS,2,NA,2,75,4073.585271,Genotype_10334
ENV1,2018DS,1,NA,1,10,522.0930233,Genotype_10337
ENV1,2018DS,2,NA,6,85,1717.790698,Genotype_10337
ENV1,2018DS,1,NA,4,35,2794.786822,Genotype_10340
ENV1,2018DS,2,NA,6,55,2715.142119,Genotype_10340
ENV1,2018DS,1,NA,5,31,3720.710594,Genotype_10346
ENV1,2018DS,2,NA,4,73,3258.294574,Genotype_10346
ENV1,2018DS,1,NA,2,36,1014.909561,Genotype_10347
ENV1,2018DS,2,NA,4,85,2478.552972,Genotype_10347
ENV1,2018DS,1,NA,4,22,3362.603359,Genotype_10352
ENV1,2018DS,2,NA,3,56,1703.72093,Genotype_10352
ENV1,2018DS,1,NA,6,21,2171.705426,Genotype_10353
ENV1,2018DS,2,NA,2,77,1448.682171,Genotype_10353
ENV1,2018DS,1,NA,6,10,2613.624031,Genotype_10354
ENV1,2018DS,2,NA,4,65,2657.054264,Genotype_10354
ENV1,2018DS,1,NA,5,34,3338.062016,Genotype_10359
