Environment,Season,Replication,Block,Row,Col,Yield,Genotype
Env1,2018DS,1,NA,1,1,2771.317829,Genotype_10485
Env1,2018DS,1,NA,1,2,2755.581395,Genotype10706
Env1,2018DS,1,NA,1,3,2391.666667,Genotype10752
Env1,2018DS,1,NA,1,4,3233.462532,Genotype10266
Env1,2018DS,1,NA,1,5,3672.55814,Genotype10835
Env1,2018DS,1,NA,1,6,2829.767442,Genotype10483
Env1,2018DS,1,NA,1,7,4115.103359,Genotype10455
Env1,2018DS,1,NA,1,8,2808.817829,Genotype10363
Env1,2018DS,1,NA,1,9,2897.810078,Genotype10187
Env1,2018DS,1,NA,1,10,522.0930233,Genotype10337
Env1,2018DS,1,NA,1,11,2424.844961,Genotype10947
Env1,2018DS,1,NA,1,12,4993.914729,Genotype10436
Env1,2018DS,1,NA,1,13,2205,Genotype10421
Env1,2018DS,1,NA,1,14,2183.617571,Genotype10904
Env1,2018DS,1,NA,1,15,283.9593023,Genotype10389
Env1,2018DS,1,NA,1,16,372.2222222,Genotype10794
Env1,2018DS,1,NA,1,17,2614.644703,Genotype10977
Env1,2018DS,1,NA,1,18,1272.55814,Genotype10960
Env1,2018DS,1,NA,1,19,NA,Genotype10955
Env1,2018DS,1,NA,1,20,NA,Genotype10441
Env1,2018DS,1,NA,1,21,2347.383721,Genotype10589
Env1,2018DS,1,NA,1,22,3172.093023,Genotype10457
Env1,2018DS,1,NA,1,23,2181.782946,Genotype10224
Env1,2018DS,1,NA,1,24,2793.042636,Genotype10289
Env1,2018DS,1,NA,1,25,2897.571059,Genotype10401
Env1,2018DS,1,NA,1,26,1999.147287,Genotype10707
Env1,2018DS,1,NA,1,27,3836.569767,Genotype10720
Env1,2018DS,1,NA,1,28,2091.521318,Genotype10592
Env1,2018DS,1,NA,1,29,3035.620155,Genotype10701
Env1,2018DS,1,NA,1,30,1957.655039,Genotype10588
Env1,2018DS,1,NA,1,31,2578.604651,Genotype10371
Env1,2018DS,1,NA,1,32,2850.503876,Genotype10240
Env1,2018DS,1,NA,1,34,3519.573643,Check1
Env1,2018DS,2,NA,3,52,NA,Check1
Env1,2018DS,1,NA,1,35,1206.944444,Genotype10560
Env1,2018DS,1,NA,1,36,2879.689922,Genotype10667
Env1,2018DS,1,NA,1,37,1964.793282,Genotype10467
Env1,2018DS,1,NA,1,38,3407.364341,Genotype10725
Env1,2018DS,1,NA,1,39,3067.041344,Genotype10530
Env1,2018DS,1,NA,1,40,1408.921189,Genotype10232
Env1,2018DS,1,NA,1,41,1720.930233,Genotype10439
Env1,2018DS,1,NA,1,42,NA,Genotype10847
Env1,2018DS,1,NA,1,43,3474.651163,Genotype10516
Env1,2018DS,1,NA,2,43,1886.569767,Genotype10903
Env1,2018DS,1,NA,2,42,3001.408269,Genotype10826
Env1,2018DS,1,NA,2,41,2037.209302,Genotype10456
Env1,2018DS,1,NA,2,40,1264.315245,Genotype10799
