S.No.,Year,Season,Treatment,Design,Study_Name,Plot_No,Rep,Entry_No,Block,Entry-Check,YKGH,Row,Col
17672,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,240,1,206,60,Entry,2821.5,4,18
17968,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,307,2,206,3,Entry,2710.6,1,85
19464,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,295,1,206,4,Entry,4183.778569,4,52
19631,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,31,1,49,1,Entry,639.5833333,1,16
17714,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,103,1,248,26,Entry,1061.9,2,29
18010,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,362,2,248,17,Entry,2647.7,1,140
19506,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,285,1,248,4,Entry,3600.682508,4,42
19849,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,19,1,197,1,Entry,159.7202035,1,19
2772,2006,WS,Non-Stress,Alpha-Lattice,L06WS-18,13,1,2,3,Check,1104.49,,
2773,2006,WS,Non-Stress,Alpha-Lattice,L06WS-18,49,2,2,2,Check,787.13,,
2774,2006,WS,Non-Stress,Alpha-Lattice,L06WS-18,111,3,2,7,Check,1064.45,,
2892,2006,WS,Stress,Alpha-Lattice,L06WS-19,33,1,2,7,Check,600.31,,
2893,2006,WS,Stress,Alpha-Lattice,L06WS-19,64,2,2,5,Check,918.69,,
2894,2006,WS,Stress,Alpha-Lattice,L06WS-19,86,3,2,2,Check,486.6,,
17701,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,72,1,235,18,Entry,3279,1,72
17997,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,502,2,235,52,Entry,4334.6,3,132
19493,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,139,1,235,2,Entry,4731.206515,2,58
19494,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,185,1,236,3,Entry,1660.080645,3,23
19837,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,201,1,185,3,Entry,382.6388889,3,25
17702,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,287,1,236,72,Entry,3499.2,4,65
17998,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,586,2,236,73,Entry,2175.3,4,142
19838,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,258,1,186,3,Entry,90.47324768,3,82
17760,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,278,1,294,70,Check,1765.9,4,56
18056,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,375,2,294,20,Check,3483.1,2,79
19571,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,73,1,298,1,Check,3949.885675,1,73
19572,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,126,2,298,2,Check,4093.421793,2,45
19573,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,198,3,298,3,Check,4968.703914,3,36
19574,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,264,4,298,4,Check,4162.385726,4,21
19641,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,6,1,57,1,Check,1841.851852,2,3
19642,2019,WS,Stress,Augmented-RCBD,RF19WS-02A,38,2,57,2,Check,408.9928058,2,19
19893,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,55,1,237,1,Check,234.3129708,1,55
19894,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,149,2,237,2,Check,403.7063953,2,61
19895,2019,WS,Stress,Augmented-RCBD,RF19WS-02B,192,3,237,3,Check,604.1437632,3,16
17758,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,288,1,292,72,Check,2978.6,4,66
18054,2018,WS,Non-Stress,Alpha-Lattice,L18WS-18,473,2,292,45,Check,3795.5,3,103
19563,2019,WS,Non-Stress,Augmented-RCBD,RF19WS-01,65,1,296,1,Check,4346.407083,1,65
