BLUEs,Environment,Genotype
1503.779069,ENV1,Genotype_10162
1093.218142,ENV1,Genotype_10164
2766.247857,ENV1,Genotype_10169
1378.536821,ENV1,Genotype_10173
2484.518733,ENV1,Genotype_10175
2134.615633,ENV1,Genotype_10176
1988.646641,ENV1,Genotype_10178
3079.535971,ENV1,Genotype_10184
1835.678295,ENV1,Genotype_10186
2471.30814,ENV1,Genotype_10187
3926.448116,ENV1,Genotype_10195
1723.301034,ENV1,Genotype_10198
1607.139858,ENV1,Genotype_10200
1424.098837,ENV1,Genotype_10211
2997.514007,ENV1,Genotype_10220
1631.768939,ENV1,Genotype_10222
2498.73708,ENV1,Genotype_10224
2990.465116,ENV1,Genotype_10226
1575.930232,ENV1,Genotype_10228
1981.576227,ENV1,Genotype_10232
2112.189922,ENV1,Genotype_10240
1923.042635,ENV1,Genotype_10248
2977.302972,ENV1,Genotype_10251
2191.407181,ENV1,Genotype_10254
2119.208656,ENV1,Genotype_10262
3346.628994,ENV1,Genotype_10266
3775.89902,ENV1,Genotype_10269
1920.998062,ENV1,Genotype_10270
2143.262274,ENV1,Genotype_10273
2043.205222,ENV1,Genotype_10274
2050.663759,ENV1,Genotype_10277
2901.524548,ENV1,Genotype_10279
1308.304263,ENV1,Genotype_10286
2259.657623,ENV1,Genotype_10288
3024.040698,ENV1,Genotype_10289
471.1886305,ENV1,Genotype_10290
2396.340439,ENV1,Genotype_10292
1954.457364,ENV1,Genotype_10295
3305.048449,ENV1,Genotype_10297
2785.799946,ENV1,Genotype_10298
1372.215762,ENV1,Genotype_10299
2222.48062,ENV1,Genotype_10302
2342.173772,ENV1,Genotype_10303
2203.895349,ENV1,Genotype_10306
3466.925064,ENV1,Genotype_10309
2749.683462,ENV1,Genotype_10311
1450.004845,ENV1,Genotype_10318
1698.404393,ENV1,Genotype_10321
1807.306202,ENV1,Genotype_10327
2099.13974,ENV1,Genotype_10328
2798.323643,ENV1,Genotype_10334
1119.941861,ENV1,Genotype_10337
2754.96447,ENV1,Genotype_10340
3489.502584,ENV1,Genotype_10346
1746.731266,ENV1,Genotype_10347
2533.162144,ENV1,Genotype_10352
1810.193798,ENV1,Genotype_10353
2635.339147,ENV1,Genotype_10354
2557.777778,ENV1,Genotype_10359
1117.647491,ENV1,Genotype_10361
2462.532299,ENV1,Genotype_10362
3118.556201,ENV1,Genotype_10363
