Genotype,Environment,Yield
Genotype2,Env1,5776.265416
Genotype3,Env1,5710.858516
Genotype4,Env1,6598.342198
Genotype5,Env1,5551.795652
Genotype6,Env1,5829.697018
Genotype7,Env1,3829.477986
Genotype8,Env1,5797.022662
Genotype9,Env1,3769.958418
Genotype10,Env1,4775.045709
Genotype11,Env1,5191.138448
Genotype12,Env1,5431.931409
Genotype13,Env1,6905.065895
Genotype14,Env1,3705.036736
Genotype15,Env1,5478.884695
Genotype16,Env1,5057.000595
Genotype17,Env1,5580.320302
Genotype18,Env1,6317.130959
Genotype19,Env1,5273.118376
Genotype20,Env1,6231.560155
Genotype21,Env1,4904.982998
Genotype22,Env1,5564.451926
Genotype23,Env1,5094.115609
Genotype24,Env1,5633.422205
Genotype25,Env1,5698.115248
Genotype26,Env1,5703.897609
Genotype27,Env1,5063.563805
Genotype28,Env1,5276.232402
Genotype29,Env1,4707.595962
Genotype30,Env1,4481.654598
Genotype31,Env1,4373.643195
Genotype32,Env1,4410.070148
Genotype33,Env1,6538.819895
Genotype34,Env1,4732.801818
Genotype35,Env1,5767.080609
Genotype36,Env1,4886.329305
Genotype37,Env1,5402.487418
Genotype38,Env1,5881.442055
Genotype39,Env1,5158.359909
Genotype40,Env1,4474.156255
Genotype41,Env1,4923.448501
Genotype42,Env1,4430.374852
Genotype43,Env1,4372.182418
Genotype44,Env1,5061.739209
Genotype45,Env1,4988.013498
Genotype46,Env1,4546.686262
Genotype47,Env1,5291.446752
Genotype48,Env1,4766.862112
Genotype49,Env1,5397.589195
Genotype50,Env1,6445.397016
Genotype51,Env1,5055.919702
Genotype52,Env1,5373.675362
Genotype53,Env1,4641.900786
Genotype54,Env1,4304.074598
Genotype55,Env1,4714.600562
Genotype56,Env1,5212.601155
Genotype57,Env1,4939.956686
Genotype58,Env1,6484.137368
Genotype59,Env1,4730.436726
Genotype60,Env1,4429.242559
Genotype61,Env1,4602.099705
Genotype62,Env1,3926.586295
Genotype63,Env1,4530.121995
Genotype64,Env1,6331.999722
Genotype65,Env1,5224.189818
Genotype66,Env1,6260.135202
Genotype67,Env1,5530.650888
Genotype68,Env1,3856.737602
Genotype69,Env1,5029.651488
Genotype70,Env1,5060.019498
Genotype71,Env1,4728.674848
Genotype72,Env1,4115.602598
Genotype73,Env1,4656.596862
Genotype74,Env1,5347.603902
Genotype75,Env1,5214.292066
Genotype76,Env1,4731.502122
Genotype77,Env1,3725.924172
Genotype78,Env1,4275.578772
Genotype79,Env1,5151.744438
Genotype80,Env1,4869.319252
Genotype81,Env1,4830.726986
Genotype82,Env1,5329.731726
Genotype83,Env1,5521.727122
Genotype84,Env1,5586.599426
Genotype85,Env1,5379.885568
Genotype86,Env1,4985.386066
Genotype87,Env1,3985.839712
Genotype88,Env1,4508.810118
Genotype89,Env1,4865.727262
Genotype90,Env1,5136.571818
Genotype91,Env1,5392.020852
Genotype92,Env1,6311.599426
Genotype93,Env1,5894.619522
Genotype94,Env1,6087.457116
Genotype95,Env1,6888.374966
Genotype96,Env1,5297.903562
Genotype97,Env1,4284.409072
Genotype98,Env1,6246.713012
Genotype99,Env1,5110.874109
Genotype100,Env1,5556.292095
Genotype101,Env1,4764.975948
Genotype102,Env1,5295.033212
Genotype103,Env1,7050.890788
Genotype104,Env1,4793.020872
Genotype105,Env1,5319.248376
Genotype106,Env1,6400.316012
Genotype107,Env1,4715.354062
Genotype108,Env1,5074.566359
Genotype109,Env1,6107.747926
Genotype110,Env1,6687.456762
Genotype111,Env1,5115.919636
Genotype112,Env1,5720.460259
Genotype113,Env1,6858.317795
Genotype114,Env1,4779.873926
Genotype115,Env1,5969.637605
Genotype116,Env1,5087.620716
Genotype117,Env1,4128.730245
Genotype118,Env1,4992.916509
Genotype119,Env1,5615.151068
Genotype120,Env1,5492.301398
Genotype121,Env1,6381.647272
